freq,psd_x,psd_y,psd_z,psd_xyz,accel_per_hz,smooth_zv(18.0),smooth_mzv(44.6),smooth_ei(48.0),smooth_2hump_ei(45.9),smooth_zvd_ei(52.2),smooth_si(45.7),mzv(52.0),ei(69.6),2hump_ei(69.6),2mode_zv(44.7)
31.2,4.595e+00,1.467e+03,4.839e-01,1.472e+03,60.0,0.496,0.361,0.386,0.333,0.295,0.328,0.508,0.555,0.335,0.364
32.7,5.669e+00,1.992e+03,6.488e-01,1.998e+03,60.0,0.500,0.314,0.341,0.288,0.253,0.283,0.467,0.517,0.290,0.317
34.3,5.539e+00,2.623e+03,8.523e-01,2.630e+03,60.0,0.491,0.268,0.298,0.245,0.214,0.240,0.426,0.480,0.246,0.271
35.9,3.941e+00,3.670e+03,1.155e+00,3.675e+03,60.0,0.471,0.223,0.256,0.204,0.178,0.199,0.385,0.442,0.205,0.225
37.4,2.280e+00,5.442e+03,2.080e+00,5.446e+03,60.0,0.442,0.179,0.216,0.166,0.144,0.161,0.344,0.405,0.165,0.182
39.0,1.478e+00,8.591e+03,4.160e+00,8.597e+03,60.0,0.404,0.138,0.177,0.129,0.115,0.125,0.303,0.368,0.128,0.140
40.5,3.700e+00,1.611e+04,8.934e+00,1.612e+04,60.0,0.360,0.099,0.141,0.096,0.088,0.092,0.263,0.331,0.094,0.101
42.1,2.719e+01,3.651e+04,2.642e+01,3.656e+04,60.0,0.312,0.064,0.108,0.067,0.066,0.063,0.224,0.295,0.065,0.068
43.7,1.344e+02,7.141e+04,8.717e+01,7.163e+04,60.0,0.261,0.040,0.077,0.041,0.046,0.041,0.185,0.260,0.042,0.045
45.2,2.665e+02,8.714e+04,1.889e+02,8.759e+04,60.0,0.232,0.033,0.050,0.026,0.031,0.027,0.148,0.226,0.028,0.037
46.8,2.206e+02,6.733e+04,2.421e+02,6.779e+04,60.0,0.215,0.041,0.031,0.022,0.019,0.025,0.113,0.193,0.027,0.042
48.3,1.038e+02,4.164e+04,1.664e+02,4.191e+04,60.0,0.199,0.056,0.023,0.027,0.010,0.030,0.083,0.161,0.032,0.054
49.9,4.628e+01,2.459e+04,9.905e+01,2.473e+04,60.0,0.184,0.073,0.026,0.036,0.005,0.037,0.057,0.132,0.039,0.071
51.5,3.818e+01,1.552e+04,1.329e+02,1.569e+04,60.0,0.169,0.087,0.033,0.044,0.003,0.045,0.042,0.103,0.048,0.086
53.0,3.996e+01,1.054e+04,2.538e+02,1.083e+04,60.0,0.155,0.099,0.042,0.050,0.002,0.052,0.039,0.078,0.054,0.098
54.6,3.514e+01,7.204e+03,6.576e+02,7.897e+03,60.0,0.141,0.109,0.048,0.054,0.003,0.056,0.051,0.056,0.058,0.108
56.1,5.751e+01,5.555e+03,1.548e+03,7.161e+03,60.0,0.128,0.115,0.052,0.056,0.008,0.057,0.061,0.039,0.060,0.114
57.7,1.327e+02,4.928e+03,1.753e+03,6.814e+03,60.0,0.128,0.119,0.054,0.055,0.013,0.057,0.073,0.029,0.059,0.118
